Model,Dataset,Seed,Data_Fraction,Accuracy,Macro_F1,Train_Time,Infer_Time,Num_Params
TF-IDF + LogReg,AG News,42,1.0,0.9164473684210527,0.9162459674318485,107.19352388381958,0.004041910171508789,
TF-IDF + SVM,AG News,42,1.0,0.9182894736842105,0.9180659124285079,98.38021993637085,0.004502058029174805,
TF-IDF + LogReg,AG News,123,1.0,0.9164473684210527,0.9162459674318485,106.54033184051514,0.0040318965911865234,
TF-IDF + SVM,AG News,123,1.0,0.9182894736842105,0.9180659124285079,97.4791567325592,0.004433393478393555,
TF-IDF + LogReg,AG News,456,1.0,0.9164473684210527,0.9162459674318485,106.83019208908081,0.004253864288330078,
TF-IDF + SVM,AG News,456,1.0,0.9182894736842105,0.9180659124285079,100.66012668609619,0.004580259323120117,
TF-IDF + LogReg,Tweet Irony,42,1.0,0.6262755102040817,0.6152015103012394,5.332635402679443,0.0004000663757324219,
TF-IDF + SVM,Tweet Irony,42,1.0,0.6454081632653061,0.636901588655507,0.616361141204834,0.0002880096435546875,
TF-IDF + LogReg,Tweet Irony,123,1.0,0.6262755102040817,0.6152015103012394,0.7523906230926514,0.00032830238342285156,
TF-IDF + SVM,Tweet Irony,123,1.0,0.6454081632653061,0.636901588655507,0.6294898986816406,0.00029087066650390625,
TF-IDF + LogReg,Tweet Irony,456,1.0,0.6262755102040817,0.6152015103012394,0.7505300045013428,0.00034618377685546875,
TF-IDF + SVM,Tweet Irony,456,1.0,0.6454081632653061,0.636901588655507,0.6211225986480713,0.00027298927307128906,
TextCNN,AG News,42,1.0,0.9055263157894737,0.905514411807441,61.76679730415344,0.15384721755981445,3995104.0
TextCNN,AG News,123,1.0,0.9047368421052632,0.9045143238314626,61.5988826751709,0.17386746406555176,3995104.0
TextCNN,AG News,456,1.0,0.9057894736842105,0.9057690102050221,43.12062311172485,0.15871715545654297,3995104.0
TextCNN,Tweet Irony,42,1.0,0.5905612244897959,0.5105403497307295,0.7717170715332031,0.016897201538085938,1606406.0
TextCNN,Tweet Irony,123,1.0,0.5982142857142857,0.5899956004548963,1.3326802253723145,0.01700901985168457,1606406.0
TextCNN,Tweet Irony,456,1.0,0.5548469387755102,0.5538532530446594,1.9187366962432861,0.017557621002197266,1606406.0
DistilBERT,AG News,42,1.0,0.9431578947368421,0.9432051930668123,1547.138751745224,4.792529106140137,66956548.0
DistilBERT,AG News,123,1.0,0.9448684210526316,0.9449045728566149,1574.939888715744,4.7935590744018555,66956548.0
DistilBERT,AG News,456,1.0,0.9438157894736842,0.9438308641665203,1569.2719295024872,4.777415037155151,66956548.0
RoBERTa,AG News,42,1.0,0.9528947368421052,0.9528427492331131,2867.3843064308167,8.389203071594238,124648708.0
